as,как
I,Я
his,его
that,что
he,он
was,было
for,для
on,на
are,являются
with,с
they,они
be,быть
at,в
one,один
have,иметь
this,это
from,от
by,по
word,слово
but,но
what,что
some,некоторые
is,является
it,это
you,вы
or,или
had,было
the,площадь
of,из
to,гора
and,и
a,основной
in,взял
we,мы
can,может
out,из
other,другой
were,были
which,который
do,сделать
their,их
time,время
if,если
will,будет
how,как
said,указанный
an,назад
each,каждый
tell,сказать
does,делает
set,набор
three,три
want,хочу
air,воздух
well,хорошо
also,также
play,играть
small,небольшой
end,конец
put,положить
home,домой
read,читать
hand,рука
port,порт
large,большой
spell,заклинание
add,добавлять
even,даже
land,земля
here,здесь
must,должны
big,большой
high,высокий
such,такие
follow,следовать
act,акт
why,почему
ask,спросите
men,люди
change,изменение
went,пошел
light,свет
kind,вид
off,от
need,нуждаться
house,дом
picture,картинка
try,пытаться
us,нам
again,снова
animal,животных
point,точка
mother,мать
world,мир
near,около
build,строить
self,самостоятельно
earth,земля
father,отец
any,любой
new,новый
work,работа
part,часть
take,принимать
get,получать
place,место
made,сделал
live,жить
where,где
after,после
back,назад
little,немного
only,только
round,круглый
man,человек
year,год
came,пришел
show,шоу
every,каждый
good,хорошее
me,меня
give,давать
our,наш
under,под
name,название
very,очень
through,через
just,просто
form,форма
sentence,приговор
great,большой
think,думать
say,сказать
help,помощь
low,низкий
line,линия
differ,отличаются
turn,поворот
cause,причиной
much,много
mean,означать
before,до
move,движение
right,право
boy,мальчик
old,старый
too,слишком
same,же
she,она
all,все
there,там
when,когда
up,вверх
use,использование
your,ваш
way,способ
about,о
many,многие
then,затем
them,их
write,запись
would,бы
like,подобно
so,так
these,эти
her,ее
long,долго
make,сделать
thing,вещь
see,посмотреть
him,его
two,два
has,имеет
look,искать
more,еще
day,день
could,мог
go,идти
come,приходят
did,сделал
number,число
sound,звук
no,нет
most,наиболее
people,люди
my,мой
over,над
know,знать
water,вода
than,чем
call,вызов
first,первый
who,кто
may,может
down,вниз
side,сторона
been,был
now,сейчас
find,находить
head,руководитель
stand,стоять
own,самостоятельно
page,страница
should,должны
country,страна
found,найдено
answer,ответ
school,школа
grow,расти
study,исследование
still,еще
learn,учиться
plant,завод
cover,крышка
food,еда
sun,солнце
four,четыре
between,между
state,состояние
keep,держать
eye,глаз
never,никогда не
last,Последнее
let,позволять
thought,мысль
city,город
tree,дерево
cross,пересекают
farm,ферма
hard,трудно
start,начало
might,мощи
story,история
saw,пила
far,далеко
sea,море
draw,привлечь
left,слева
late,поздно
run,запустить
don’t,не
while,в то время как
press,нажмите
close,близко
night,ночь
real,реальный
life,жизнь
few,несколько
north,к северу
book,книга
carry,нести
took,взял
science,наука
eat,есть
room,номер
friend,друг
began,начал
idea,идея
fish,рыба
mountain,гора
stop,остановить
once,раз
base,база
hear,слышать
horse,лошадь
cut,вырезать
sure,уверен
watch,смотреть
color,цвет
face,лицо
wood,дерево
main,основной
open,открыт
seem,кажется
together,вместе
next,следующий
white,белый
children,дети
begin,начать
got,получил
walk,ходить
example,пример
ease,легкость
paper,бумага
group,группа
always,всегда
music,музыка
those,"тех,"
both,как
mark,знак
often,часто
letter,письмо
until,до
mile,км
river,река
car,автомобиль
feet,футов
care,уход
second,Второй
enough,достаточно
plain,равнина
girl,девушка
usual,обычно
young,молодой
ready,готовый
above,выше
ever,когда-либо
red,красный
list,список
though,хотя
feel,чувствовать
talk,разговор
bird,птица
soon,скоро
body,тело
dog,собака
family,семья
direct,прямой
pose,представляют
leave,оставить
song,песня
measure,измерять
door,дверь
product,продукт
black,черный
short,короткая
numeral,цифра
class,класс
wind,ветер
question,вопрос
happen,произойдет
complete,полная
ship,корабль
area,площадь
half,половина
rock,рок
order,порядок
fire,огонь
south,юг
problem,проблема
piece,кусок
told,сказал
knew,знал
pass,проходить
since,с
top,топ
whole,весь
king,король
street,улица
inch,дюйм
multiply,умножить
nothing,ничего
course,курс
stay,оставаться
wheel,колеса
full,полный
force,сила
blue,синий
object,объект
decide,решать
surface,поверхность
deep,глубоко
moon,луна
island,остров
foot,фут
system,система
busy,занято
test,тест
record,запись
boat,лодка
common,общая
gold,золото
possible,возможно
plane,самолет
stead,вместо него
dry,сухой
wonder,Интересно
laugh,смех
thousand,тыс
ago,назад
ran,побежал
check,проверять
game,игра
shape,форма
equate,приравнять
hot,горячий
miss,мисс
brought,принес
heat,тепло
snow,снег
tire,шина
bring,приносить
yes,да
distant,удаленная
fill,заполнить
east,восток
paint,краска
language,язык
among,среди
unit,блок
power,мощность
town,город
fine,отлично
certain,уверен
fly,летать
fall,падать
lead,привести
cry,крик
dark,темно
machine,машина
note,примечание
wait,ждать
plan,план
figure,фигура
star,звезда
box,коробка
noun,существительное
field,поле
rest,остальные
correct,верный
able,состоянии
pound,фунт
done,сделано
beauty,красота
drive,привод
stood,стоял
contain,содержать
front,передние
teach,учить
week,неделя
final,окончательный
gave,дал
green,зеленый
oh,ой
quick,быстро
develop,развивать
ocean,океан
warm,теплый
free,бесплатно
minute,минут
strong,сильный
special,специальный
mind,ум
behind,за
clear,ясно
tail,хвост
produce,производить
fact,факт
space,пространство
heard,слышал
best,лучше
hour,час
better,лучше
TRUE,правда
during,во
hundred,сто
five,пять
remember,запомнить
step,шаг
early,рано
hold,удерживайте
west,запад
ground,земля
interest,интерес
reach,достичь
fast,быстро
verb,глагол
sing,петь
listen,слушать
six,шесть
table,стол
travel,поездки
less,меньше
morning,утро
ten,десять
simple,простой
several,несколько
vowel,гласный
toward,к
war,война
lay,заложить
against,против
pattern,шаблон
slow,медленно
center,центр
love,любовь
person,человек
money,деньги
serve,служить
appear,появляются
road,дорога
map,карта
rain,дождь
rule,правило
govern,управлять
pull,тянуть
cold,холодный
notice,уведомление
voice,голос
energy,энергия
hunt,охота
probable,вероятный
bed,кровать
brother,брат
egg,яйцо
ride,поездка
cell,клеток
believe,верить
perhaps,"возможно,"
pick,выбрать
sudden,внезапный
count,считать
square,Квадратный
reason,причина
length,длина
represent,представлять
art,искусство
subject,Заголовок
region,область
size,размер
vary,меняться
settle,урегулировать
speak,говорить
weight,вес
general,общий
ice,лед
matter,дело
circle,круг
pair,пара
include,включают
divide,разделяй
syllable,слог
felt,чувствовал
grand,великий
ball,мяч
yet,еще
wave,волна
drop,падение
heart,сердце
am,утра
present,присутствует
heavy,тяжелый
dance,танец
engine,двигатель
position,положение
arm,рука
wide,широкий
sail,парус
material,материал
fraction,доля
forest,лес
sit,сидеть
race,гонка
window,окно
store,магазин
summer,лето
train,поезд
sleep,сон
prove,доказывать
lone,одинокий
leg,нога
exercise,упражнение
wall,стена
catch,улов
mount,крепление
wish,хотите
sky,небо
board,доска
joy,радость
winter,зима
sat,Сб
written,написанный
wild,дикий
instrument,инструмент
kept,хранится
glass,стекло
grass,трава
cow,корова
job,работа
edge,край
sign,знак
visit,визит
past,мимо
soft,мягкая
fun,весело
bright,яркий
gas,газа
weather,погода
month,месяц
million,миллион
bear,нести
finish,отделка
happy,счастливы
hope,надеюсь
flower,цветок
clothe,одевать
strange,странный
gone,ушел
trade,торговля
melody,мелодия
trip,поездка
office,офис
receive,получать
row,строка
mouth,рот
exact,точный
symbol,символ
die,умереть
least,мере
trouble,беда
shout,крик
except,кроме
wrote,писал
seed,семян
tone,тон
join,присоединиться
suggest,предложить
clean,чистый
break,перерыв
lady,леди
yard,двор
rise,подниматься
bad,плохо
blow,удар
oil,масло
blood,кровь
touch,коснуться
grew,выросла
cent,цент
mix,смешивать
team,команда
wire,провод
cost,Стоимость
lost,потерянный
brown,коричневый
wear,носить
garden,сад
equal,равный
sent,отправлено
choose,выбирать
fell,упал
fit,соответствовать
flow,течь
fair,ярмарка
bank,банк
collect,собирать
save,сохранить
control,контроль
decimal,десятичной
ear,ухо
else,еще
quite,вполне
broke,сломал
case,дело
middle,средний
kill,убивать
son,сын
lake,озеро
moment,момент
scale,шкала
loud,громко
spring,весна
observe,наблюдать
child,ребенок
straight,прямо
consonant,согласный
nation,нация
dictionary,словарь
milk,молоко
speed,скорость
method,метод
organ,орган
pay,платить
age,возраст
section,раздел
dress,платье
cloud,облако
surprise,сюрприз
quiet,тихо
stone,камень
tiny,крошечный
climb,подъем
cool,круто
design,дизайн
poor,бедный
lot,много
experiment,эксперимент
bottom,снизу
key,ключ
iron,железо
single,один
stick,палка
flat,плоским
twenty,двадцать
skin,кожа
smile,улыбка
crease,складка
hole,отверстие
jump,прыжок
baby,ребенок
eight,восемь
village,деревня
meet,Знакомства
root,корень
buy,купить
raise,поднимать
solve,решить
metal,металла
whether,ли
push,толчок
seven,семь
paragraph,пункт
third,третий
shall,должен
held,ручные
hair,волосы
describe,описывать
cook,повар
floor,этаж
either,или
result,результат
burn,сжечь
hill,холм
safe,сейф
cat,кошка
century,век
consider,рассматривать
type,Тип
law,закон
bit,немного
coast,побережье
copy,копия
phrase,фраза
silent,тихий
tall,высокий
sand,песок
soil,почвы
roll,рулон
temperature,температура
finger,палец
industry,промышленность
value,значение
fight,борьба
lie,ложь
beat,бить
excite,возбуждать
natural,естественный
view,вид
sense,смысл
capital,капитал
won’t,не будет
chair,стул
danger,опасность
fruit,фрукты
rich,богатые
thick,толщиной
soldier,солдат
process,процесс
operate,работать
practice,практика
separate,отдельный
difficult,трудный
doctor,врач
please,пожалуйста
protect,защищать
noon,полдень
crop,урожай
modern,современный
element,элемент
hit,хит
student,студент
corner,угол
party,партия
supply,поставка
whose,чьи
locate,разместить
ring,кольцо
character,характер
insect,насекомое
caught,пойманный
period,период
indicate,указывать
radio,радио
spoke,говорил
atom,атом
human,человек
history,история
effect,эффект
electric,электрический
expect,ожидать
bone,кость
rail,железнодорожные
imagine,вообразить
provide,обеспечить
agree,соглашаться
thus,таким образом
gentle,нежный
woman,женщина
captain,капитан
guess,догадываться
necessary,необходимо
sharp,резкое
wing,крыло
create,создавать
neighbor,сосед
wash,стирка
bat,летучая мышь
rather,а
crowd,толпа
corn,кукуруза
compare,сравнить
poem,стихотворение
string,строка
bell,колокол
depend,зависеть
meat,мясо
rub,руб
tube,трубка
famous,известный
dollar,доллар
stream,поток
fear,страх
sight,зрение
thin,тонкий
triangle,треугольник
planet,планета
hurry,спешить
chief,главный
colony,колония
clock,часы
mine,шахта
tie,связать
enter,введите
major,основным
fresh,свежий
search,поиск
send,отправить
yellow,желтый
gun,пистолет
allow,позволять
print,печать
dead,мертвый
spot,место
desert,пустыня
suit,костюм
current,ток
lift,лифт
rose,выросла
arrive,приходим
master,мастер
track,трек
parent,родитель
shore,берег
division,деление
sheet,лист
substance,вещество
favor,пользу
connect,подключать
post,пост
spend,провести
chord,аккорд
fat,жира
glad,довольный
original,оригинальный
share,доля
station,станция
dad,папа
bread,хлеб
charge,взимать
proper,собственно
bar,бар
offer,предложение
segment,сегмент
slave,раб
duck,утка
instant,растворимый
market,рынок
degree,степень
populate,заселять
chick,цыпленок
dear,дорогой
enemy,враг
reply,ответ
drink,напиток
occur,происходить
support,поддержка
speech,речь
nature,природа
range,диапазон
steam,пара
motion,движение
path,путь
liquid,жидкости
log,войти
meant,означало
quotient,фактор
teeth,зубы
shell,оболочка
neck,шея
oxygen,кислорода
sugar,сахар
death,смерть
pretty,довольно
skill,умение
women,женщины
season,сезон
solution,решение
magnet,магнит
silver,серебро
thank,спасибо
branch,филиал
match,матч
suffix,суффикс
especially,особенно
fig,рис
afraid,боится
huge,огромный
sister,сестра
steel,сталь
discuss,обсуждать
forward,вперед
similar,похожи
guide,направлять
experience,опыт
score,счет
apple,яблоко
bought,купленный
led,привело
pitch,шаг
coat,пальто
mass,масса
card,карта
band,полоса
rope,веревка
slip,скольжение
win,выиграть
dream,мечтать
evening,вечер
condition,состояние
feed,корма
tool,инструмент
total,общий
basic,основной
smell,запах
valley,долина
nor,ни
double,двойной
seat,сиденья
continue,продолжать
block,блок
chart,диаграмма
hat,шляпа
sell,продать
success,успех
company,компания
subtract,вычитать
event,мероприятие
particular,частности
deal,сделка
swim,плавать
term,термин
opposite,напротив
wife,жена
shoe,обуви
shoulder,плечо
spread,распространение
arrange,организовать
camp,лагерь
invent,изобретать
cotton,хлопок
born,родившийся
determine,определять
quart,кварта
nine,девять
truck,грузовик
noise,шум
level,уровень
chance,шанс
gather,собирать
shop,магазин
stretch,протяжение
throw,бросать
shine,блеск
property,имущество
column,колонка
molecule,молекула
select,выбирать
wrong,неправильно
gray,серый
repeat,повторение
require,требовать
broad,широкий
prepare,подготовить
salt,соль
nose,нос
plural,множественное
anger,гнев
claim,претензии
continent,континент
computer,компьютер
programmer,программист
mouse,мышь